iShares U.S. Aerospace & Defense ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Dec 29, 2017"
Total Net Assets,"4,938,624,388.15"
Shares Outstanding,"26,250,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BA","BOEING","Equity","10.86","294.91","1,818,068.00","536,166,433.88","536,166,433.88","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","8.24","127.57","3,190,353.00","406,993,332.21","406,993,332.21","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","7.50","321.05","1,154,158.00","370,542,425.90","370,542,425.90","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"GD","GENERAL DYNAMICS CORP","Equity","6.28","203.45","1,525,161.00","310,294,005.45","310,294,005.45","Industrials","2365161","US3695501086","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","6.16","187.85","1,618,609.00","304,055,700.65","304,055,700.65","Industrials","2758051","US7551115071","New York Stock Exchange Inc."
"NOC","NORTHROP GRUMMAN CORP","Equity","6.13","306.91","986,786.00","302,854,491.26","302,854,491.26","Industrials","2648806","US6668071029","New York Stock Exchange Inc."
"COL","ROCKWELL COLLINS INC","Equity","3.97","135.62","1,445,101.00","195,984,597.62","195,984,597.62","Industrials","2767228","US7743411016","New York Stock Exchange Inc."
"LLL","L3 TECHNOLOGIES INC","Equity","3.33","197.85","831,263.00","164,465,384.55","164,465,384.55","Industrials","BYZGYC0","US5024131071","New York Stock Exchange Inc."
"TXT","TEXTRON INC","Equity","3.32","56.59","2,901,751.00","164,210,089.09","164,210,089.09","Industrials","2885937","US8832031012","New York Stock Exchange Inc."
"TDG","TRANSDIGM GROUP INC","Equity","3.07","274.62","551,719.00","151,513,071.78","151,513,071.78","Industrials","B11FJK3","US8936411003","New York Stock Exchange Inc."
"ARNC","ARCONIC INC","Equity","3.04","27.25","5,518,503.00","150,379,206.75","150,379,206.75","Industrials","BD3D9G5","US03965L1008","New York Stock Exchange Inc."
"HII","HUNTINGTON INGALLS INDUSTRIES INC","Equity","2.77","235.70","580,449.00","136,811,829.30","136,811,829.30","Industrials","B40SSC9","US4464131063","New York Stock Exchange Inc."
"SPR","SPIRIT AEROSYSTEMS INC CLASS A","Equity","2.74","87.25","1,549,523.00","135,195,881.75","135,195,881.75","Industrials","B1HMMS7","US8485741099","New York Stock Exchange Inc."
"OA","ORBITAL ATK INC","Equity","2.32","131.50","871,721.00","114,631,311.50","114,631,311.50","Industrials","BVGC686","US68557N1037","New York Stock Exchange Inc."
"TDY","TELEDYNE TECHNOLOGIES INC","Equity","2.15","181.15","586,501.00","106,244,656.15","106,244,656.15","Industrials","2503477","US8793601050","New York Stock Exchange Inc."
"BWXT","BWX TECHNOLOGIES INC","Equity","2.06","60.49","1,685,457.00","101,953,293.93","101,953,293.93","Industrials","BZ0W624","US05605H1005","New York Stock Exchange Inc."
"HXL","HEXCEL CORP","Equity","2.02","61.85","1,613,762.00","99,811,179.70","99,811,179.70","Industrials","2416779","US4282911084","New York Stock Exchange Inc."
"CW","CURTISS WRIGHT CORP","Equity","1.96","121.85","795,712.00","96,957,507.20","96,957,507.20","Industrials","2241205","US2315611010","New York Stock Exchange Inc."
"KLXI","KLX INC","Equity","1.72","68.25","1,244,721.00","84,952,208.25","84,952,208.25","Industrials","BT6T3G0","US4825391034","NASDAQ"
"HEIA","HEICO CORP CLASS A","Equity","1.68","79.05","1,047,854.00","82,832,858.70","82,832,858.70","Industrials","2237561","US4228062083","New York Stock Exchange Inc."
"ROLL","RBC BEARINGS INC","Equity","1.49","126.40","581,090.00","73,449,776.00","73,449,776.00","Industrials","B0GLYB5","US75524B1044","NASDAQ"
"MOGA","MOOG INC CLASS A","Equity","1.44","86.85","821,394.00","71,338,068.90","71,338,068.90","Industrials","2601218","US6153942023","New York Stock Exchange Inc."
"HEI","HEICO CORP","Equity","1.38","94.35","722,571.00","68,174,573.85","68,174,573.85","Industrials","2419217","US4228061093","New York Stock Exchange Inc."
"MRCY","MERCURY SYSTEMS INC","Equity","1.34","51.35","1,290,414.00","66,262,758.90","66,262,758.90","Industrials","2144047","US5893781089","NASDAQ"
"AJRD","AEROJET ROCKETDYNE HOLDINGS INC","Equity","1.32","31.20","2,094,849.00","65,359,288.80","65,359,288.80","Industrials","BWD7PX9","US0078001056","New York Stock Exchange Inc."
"ESL","ESTERLINE TECHNOLOGIES CORP","Equity","1.25","74.70","826,555.00","61,743,658.50","61,743,658.50","Industrials","2322047","US2974251009","New York Stock Exchange Inc."
"AAXN","AXON ENTERPRISE INC","Equity","1.07","26.50","1,996,977.00","52,919,890.50","52,919,890.50","Industrials","BDT5S35","US05464C1018","NASDAQ"
"CUB","CUBIC CORP","Equity","1.03","58.95","863,570.00","50,907,451.50","50,907,451.50","Industrials","2239266","US2296691064","New York Stock Exchange Inc."
"TGI","TRIUMPH GROUP INC","Equity","1.01","27.20","1,829,691.00","49,767,595.20","49,767,595.20","Industrials","2893071","US8968181011","New York Stock Exchange Inc."
"MANT","MANTECH INTERNATIONAL CORP CLASS A","Equity","0.98","50.19","959,508.00","48,157,706.52","48,157,706.52","Information Technology","2825308","US5645631046","NASDAQ"
"AVAV","AEROVIRONMENT INC","Equity","0.96","56.16","840,184.00","47,184,733.44","47,184,733.44","Industrials","B1P5YY8","US0080731088","NASDAQ"
"AIR","AAR CORP","Equity","0.93","39.29","1,170,180.00","45,976,372.20","45,976,372.20","Industrials","2001119","US0003611052","New York Stock Exchange Inc."
"RGR","STURM RUGER INC","Equity","0.86","55.85","759,910.00","42,440,973.50","42,440,973.50","Consumer Discretionary","2856289","US8641591081","New York Stock Exchange Inc."
