iShares U.S. Aerospace & Defense ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Jan 31, 2018"
Total Net Assets,"5,726,825,880.94"
Shares Outstanding,"28,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BA","BOEING","Equity","12.09","354.37","1,953,125.00","692,128,906.25","692,128,906.25","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","8.26","138.01","3,427,356.00","473,009,401.56","473,009,401.56","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","7.68","354.85","1,239,880.00","439,971,418.00","439,971,418.00","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"GD","GENERAL DYNAMICS CORP","Equity","6.37","222.48","1,638,456.00","364,523,690.88","364,523,690.88","Industrials","2365161","US3695501086","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","6.34","208.94","1,738,846.00","363,314,483.24","363,314,483.24","Industrials","2758051","US7551115071","New York Stock Exchange Inc."
"NOC","NORTHROP GRUMMAN CORP","Equity","6.30","340.53","1,060,106.00","360,997,896.18","360,997,896.18","Industrials","2648806","US6668071029","New York Stock Exchange Inc."
"COL","ROCKWELL COLLINS INC","Equity","3.76","138.49","1,553,070.00","215,084,664.30","215,084,664.30","Industrials","2767228","US7743411016","New York Stock Exchange Inc."
"LLL","L3 TECHNOLOGIES INC","Equity","3.31","212.46","893,000.00","189,726,780.00","189,726,780.00","Industrials","BYZGYC0","US5024131071","New York Stock Exchange Inc."
"TDG","TRANSDIGM GROUP INC","Equity","3.28","316.91","592,708.00","187,835,092.28","187,835,092.28","Industrials","B11FJK3","US8936411003","New York Stock Exchange Inc."
"TXT","TEXTRON INC","Equity","3.19","58.67","3,117,304.00","182,892,225.68","182,892,225.68","Industrials","2885937","US8832031012","New York Stock Exchange Inc."
"ARNC","ARCONIC INC","Equity","3.11","30.06","5,928,432.00","178,208,665.92","178,208,665.92","Industrials","BD3D9G5","US03965L1008","New York Stock Exchange Inc."
"SPR","SPIRIT AEROSYSTEMS INC CLASS A","Equity","2.98","102.36","1,664,612.00","170,389,684.32","170,389,684.32","Industrials","B1HMMS7","US8485741099","New York Stock Exchange Inc."
"HII","HUNTINGTON INGALLS INDUSTRIES INC","Equity","2.59","237.54","623,583.00","148,125,905.82","148,125,905.82","Industrials","B40SSC9","US4464131063","New York Stock Exchange Inc."
"OA","ORBITAL ATK INC","Equity","2.16","131.90","936,461.00","123,519,205.90","123,519,205.90","Industrials","BVGC686","US68557N1037","New York Stock Exchange Inc."
"TDY","TELEDYNE TECHNOLOGIES INC","Equity","2.10","190.92","630,064.00","120,291,818.88","120,291,818.88","Industrials","2503477","US8793601050","New York Stock Exchange Inc."
"HXL","HEXCEL CORP","Equity","2.07","68.35","1,733,648.00","118,494,840.80","118,494,840.80","Industrials","2416779","US4282911084","New York Stock Exchange Inc."
"BWXT","BWX TECHNOLOGIES INC","Equity","2.01","63.44","1,810,647.00","114,867,445.68","114,867,445.68","Industrials","BZ0W624","US05605H1005","New York Stock Exchange Inc."
"CW","CURTISS WRIGHT CORP","Equity","1.95","130.66","854,836.00","111,692,871.76","111,692,871.76","Industrials","2241205","US2315611010","New York Stock Exchange Inc."
"KLXI","KLX INC","Equity","1.65","70.66","1,337,190.00","94,485,845.40","94,485,845.40","Industrials","BT6T3G0","US4825391034","NASDAQ"
"HEIA","HEICO CORP CLASS A","Equity","1.62","65.85","1,407,122.00","92,658,983.70","92,658,983.70","Industrials","2237561","US4228062083","New York Stock Exchange Inc."
"MOGA","MOOG INC CLASS A","Equity","1.39","90.06","882,429.00","79,471,555.74","79,471,555.74","Industrials","2601218","US6153942023","New York Stock Exchange Inc."
"ROLL","RBC BEARINGS INC","Equity","1.37","126.00","624,263.00","78,657,138.00","78,657,138.00","Industrials","B0GLYB5","US75524B1044","NASDAQ"
"HEI","HEICO CORP","Equity","1.36","80.32","970,293.00","77,933,933.76","77,933,933.76","Industrials","2419217","US4228061093","New York Stock Exchange Inc."
"MRCY","MERCURY SYSTEMS INC","Equity","1.16","48.02","1,386,276.00","66,568,973.52","66,568,973.52","Industrials","2144047","US5893781089","NASDAQ"
"ESL","ESTERLINE TECHNOLOGIES CORP","Equity","1.14","73.55","887,941.00","65,308,060.55","65,308,060.55","Industrials","2322047","US2974251009","New York Stock Exchange Inc."
"AJRD","AEROJET ROCKETDYNE HOLDINGS INC","Equity","1.08","27.50","2,250,459.00","61,887,622.50","61,887,622.50","Industrials","BWD7PX9","US0078001056","New York Stock Exchange Inc."
"TGI","TRIUMPH GROUP INC","Equity","1.00","29.15","1,965,606.00","57,297,414.90","57,297,414.90","Industrials","2893071","US8968181011","New York Stock Exchange Inc."
"AAXN","AXON ENTERPRISE INC","Equity","0.99","26.46","2,145,333.00","56,765,511.18","56,765,511.18","Industrials","BDT5S35","US05464C1018","NASDAQ"
"CUB","CUBIC CORP","Equity","0.94","58.05","927,725.00","53,854,436.25","53,854,436.25","Industrials","2239266","US2296691064","New York Stock Exchange Inc."
"MANT","MANTECH INTERNATIONAL CORP CLASS A","Equity","0.94","52.07","1,030,800.00","53,673,756.00","53,673,756.00","Information Technology","2825308","US5645631046","NASDAQ"
"AIR","AAR CORP","Equity","0.89","40.47","1,257,111.00","50,875,282.17","50,875,282.17","Industrials","2001119","US0003611052","New York Stock Exchange Inc."
"KTOS","KRATOS DEFENSE AND SECURITY SOLUTI","Equity","0.83","11.41","4,181,743.00","47,713,687.63","47,713,687.63","Industrials","2512149","US50077B2079","NASDAQ"
"AVAV","AEROVIRONMENT INC","Equity","0.81","51.36","902,584.00","46,356,714.24","46,356,714.24","Industrials","B1P5YY8","US0080731088","NASDAQ"
