iShares U.S. Aerospace & Defense ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Feb 28, 2018"
Total Net Assets,"5,849,071,968.70"
Shares Outstanding,"28,850,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BA","BOEING","Equity","12.39","362.21","2,004,541.00","726,064,795.61","726,064,795.61","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","8.10","134.74","3,524,327.00","474,867,819.98","474,867,819.98","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","7.66","352.44","1,273,168.00","448,715,329.92","448,715,329.92","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","6.63","217.51","1,785,958.00","388,463,724.58","388,463,724.58","Industrials","2758051","US7551115071","New York Stock Exchange Inc."
"NOC","NORTHROP GRUMMAN CORP","Equity","6.50","350.04","1,088,821.00","381,130,902.84","381,130,902.84","Industrials","2648806","US6668071029","New York Stock Exchange Inc."
"GD","GENERAL DYNAMICS CORP","Equity","6.39","222.45","1,682,951.00","374,372,449.95","374,372,449.95","Industrials","2365161","US3695501086","New York Stock Exchange Inc."
"COL","ROCKWELL COLLINS INC","Equity","3.75","137.72","1,596,622.00","219,886,781.84","219,886,781.84","Industrials","2767228","US7743411016","New York Stock Exchange Inc."
"TXT","TEXTRON INC","Equity","3.29","59.85","3,225,093.00","193,021,816.05","193,021,816.05","Industrials","2885937","US8832031012","New York Stock Exchange Inc."
"LLL","L3 TECHNOLOGIES INC","Equity","3.25","207.55","918,741.00","190,684,694.55","190,684,694.55","Industrials","BYZGYC0","US5024131071","New York Stock Exchange Inc."
"TDG","TRANSDIGM GROUP INC","Equity","3.00","288.31","609,882.00","175,835,079.42","175,835,079.42","Industrials","B11FJK3","US8936411003","New York Stock Exchange Inc."
"HII","HUNTINGTON INGALLS INDUSTRIES INC","Equity","2.87","262.01","641,833.00","168,166,664.33","168,166,664.33","Industrials","B40SSC9","US4464131063","New York Stock Exchange Inc."
"SPR","SPIRIT AEROSYSTEMS INC CLASS A","Equity","2.67","91.29","1,714,031.00","156,473,889.99","156,473,889.99","Industrials","B1HMMS7","US8485741099","New York Stock Exchange Inc."
"ARNC","ARCONIC INC","Equity","2.26","24.39","5,423,031.00","132,267,726.09","132,267,726.09","Industrials","BD3D9G5","US03965L1008","New York Stock Exchange Inc."
"OA","ORBITAL ATK INC","Equity","2.18","132.06","965,115.00","127,453,086.90","127,453,086.90","Industrials","BVGC686","US68557N1037","New York Stock Exchange Inc."
