iShares U.S. Aerospace & Defense ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Mar 29, 2018"
Total Net Assets,"5,749,856,340.62"
Shares Outstanding,"29,050,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BA","BOEING","Equity","10.44","327.88","1,831,055.00","600,366,313.40","600,366,313.40","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","7.62","125.82","3,480,261.00","437,886,439.02","437,886,439.02","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","7.32","337.93","1,245,866.00","421,015,497.38","421,015,497.38","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","6.39","215.82","1,701,699.00","367,260,678.18","367,260,678.18","Industrials","2758051","US7551115071","New York Stock Exchange Inc."
"NOC","NORTHROP GRUMMAN CORP","Equity","6.31","349.12","1,039,448.00","362,892,085.76","362,892,085.76","Industrials","2648806","US6668071029","New York Stock Exchange Inc."
"GD","GENERAL DYNAMICS CORP","Equity","6.22","220.90","1,620,245.00","357,912,120.50","357,912,120.50","Industrials","2365161","US3695501086","New York Stock Exchange Inc."
"COL","ROCKWELL COLLINS INC","Equity","3.81","134.85","1,625,467.00","219,194,224.95","219,194,224.95","Industrials","2767228","US7743411016","New York Stock Exchange Inc."
"HRS","HARRIS CORP","Equity","3.64","161.28","1,296,204.00","209,051,781.12","209,051,781.12","Industrials","2412001","US4138751056","New York Stock Exchange Inc."
"LLL","L3 TECHNOLOGIES INC","Equity","3.32","208.00","917,556.00","190,851,648.00","190,851,648.00","Industrials","BYZGYC0","US5024131071","New York Stock Exchange Inc."
"TDG","TRANSDIGM GROUP INC","Equity","3.27","306.94","612,285.00","187,934,757.90","187,934,757.90","Industrials","B11FJK3","US8936411003","New York Stock Exchange Inc."
"TXT","TEXTRON INC","Equity","3.23","58.97","3,145,917.00","185,514,725.49","185,514,725.49","Industrials","2885937","US8832031012","New York Stock Exchange Inc."
"HII","HUNTINGTON INGALLS INDUSTRIES INC","Equity","2.80","257.76","623,782.00","160,786,048.32","160,786,048.32","Industrials","B40SSC9","US4464131063","New York Stock Exchange Inc."
