iShares U.S. Aerospace & Defense ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Apr 28, 2017"
Total Net Assets,"2,843,376,164.36"
Shares Outstanding,"18,500,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BA","BOEING","Equity","9.57","184.83","1,472,774.00","272,212,818.42","272,212,818.42","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","9.00","118.99","2,149,824.00","255,807,557.76","255,807,557.76","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","7.58","269.45","799,874.00","215,526,049.30","215,526,049.30","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"GD","GENERAL DYNAMICS CORP","Equity","6.89","193.79","1,010,539.00","195,832,352.81","195,832,352.81","Industrials","2365161","US3695501086","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","6.21","155.21","1,137,366.00","176,530,576.86","176,530,576.86","Industrials","2758051","US7551115071","New York Stock Exchange Inc."
"NOC","NORTHROP GRUMMAN CORP","Equity","6.04","245.96","698,108.00","171,706,643.68","171,706,643.68","Industrials","2648806","US6668071029","New York Stock Exchange Inc."
"COL","ROCKWELL COLLINS INC","Equity","4.29","104.09","1,170,743.00","121,862,638.87","121,862,638.87","Industrials","2767228","US7743411016","New York Stock Exchange Inc."
"LLL","L3 TECHNOLOGIES INC","Equity","3.35","171.77","555,258.00","95,376,666.66","95,376,666.66","Industrials","BYZGYC0","US5024131071","New York Stock Exchange Inc."
"TDG","TRANSDIGM GROUP INC","Equity","3.21","246.73","369,679.00","91,210,899.67","91,210,899.67","Industrials","B11FJK3","US8936411003","New York Stock Exchange Inc."
"TXT","TEXTRON INC","Equity","3.17","46.66","1,932,393.00","90,165,457.38","90,165,457.38","Industrials","2885937","US8832031012","New York Stock Exchange Inc."
"ARNC","ARCONIC INC","Equity","3.17","27.33","3,297,413.00","90,118,297.29","90,118,297.29","Industrials","BD3D9G5","US03965L1008","New York Stock Exchange Inc."
"HII","HUNTINGTON INGALLS INDUSTRIES INC","Equity","2.65","200.89","375,670.00","75,468,346.30","75,468,346.30","Industrials","B40SSC9","US4464131063","New York Stock Exchange Inc."
"SPR","SPIRIT AEROSYSTEMS INC CLASS A","Equity","2.31","57.16","1,147,853.00","65,611,277.48","65,611,277.48","Industrials","B1HMMS7","US8485741099","New York Stock Exchange Inc."
"OA","ORBITAL ATK INC","Equity","2.17","99.00","622,901.00","61,667,199.00","61,667,199.00","Industrials","BVGC686","US68557N1037","New York Stock Exchange Inc."
"BWXT","BWX TECHNOLOGIES INC","Equity","2.05","49.17","1,184,063.00","58,220,377.71","58,220,377.71","Industrials","BZ0W624","US05605H1005","New York Stock Exchange Inc."
"TDY","TELEDYNE TECHNOLOGIES INC","Equity","1.99","134.83","420,654.00","56,716,778.82","56,716,778.82","Industrials","2503477","US8793601050","New York Stock Exchange Inc."
"HXL","HEXCEL CORP","Equity","1.91","51.75","1,048,420.00","54,255,735.00","54,255,735.00","Industrials","2416779","US4282911084","New York Stock Exchange Inc."
"CW","CURTISS WRIGHT CORP","Equity","1.80","93.46","549,138.00","51,322,437.48","51,322,437.48","Industrials","2241205","US2315611010","New York Stock Exchange Inc."
