iShares U.S. Aerospace & Defense ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"May 31, 2017"
Total Net Assets,"3,054,357,546.98"
Shares Outstanding,"19,350,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BA","BOEING","Equity","9.48","187.63","1,542,834.00","289,481,943.42","289,481,943.42","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","8.94","121.28","2,252,087.00","273,133,111.36","273,133,111.36","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","7.71","281.13","837,919.00","235,564,168.47","235,564,168.47","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"GD","GENERAL DYNAMICS CORP","Equity","7.04","203.25","1,058,608.00","215,162,076.00","215,162,076.00","Industrials","2365161","US3695501086","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","6.40","164.01","1,191,467.00","195,412,502.67","195,412,502.67","Industrials","2758051","US7551115071","New York Stock Exchange Inc."
"NOC","NORTHROP GRUMMAN CORP","Equity","6.21","259.22","731,312.00","189,570,696.64","189,570,696.64","Industrials","2648806","US6668071029","New York Stock Exchange Inc."
"COL","ROCKWELL COLLINS INC","Equity","4.38","109.05","1,225,423.00","133,632,378.15","133,632,378.15","Industrials","2767228","US7743411016","New York Stock Exchange Inc."
"TDG","TRANSDIGM GROUP INC","Equity","3.40","268.08","387,265.00","103,818,001.20","103,818,001.20","Industrials","B11FJK3","US8936411003","New York Stock Exchange Inc."
"LLL","L3 TECHNOLOGIES INC","Equity","3.21","168.59","581,665.00","98,062,902.35","98,062,902.35","Industrials","BYZGYC0","US5024131071","New York Stock Exchange Inc."
"TXT","TEXTRON INC","Equity","3.17","47.80","2,024,307.00","96,761,874.60","96,761,874.60","Industrials","2885937","US8832031012","New York Stock Exchange Inc."
"ARNC","ARCONIC INC","Equity","3.11","27.47","3,454,260.00","94,888,522.20","94,888,522.20","Industrials","BD3D9G5","US03965L1008","New York Stock Exchange Inc."
"HII","HUNTINGTON INGALLS INDUSTRIES INC","Equity","2.52","195.81","393,543.00","77,059,654.83","77,059,654.83","Industrials","B40SSC9","US4464131063","New York Stock Exchange Inc."
"OA","ORBITAL ATK INC","Equity","2.17","101.66","652,523.00","66,335,488.18","66,335,488.18","Industrials","BVGC686","US68557N1037","New York Stock Exchange Inc."
"SPR","SPIRIT AEROSYSTEMS INC CLASS A","Equity","2.15","54.49","1,202,457.00","65,521,881.93","65,521,881.93","Industrials","B1HMMS7","US8485741099","New York Stock Exchange Inc."
"BWXT","BWX TECHNOLOGIES INC","Equity","1.97","48.60","1,240,389.00","60,282,905.40","60,282,905.40","Industrials","BZ0W624","US05605H1005","New York Stock Exchange Inc."
"TDY","TELEDYNE TECHNOLOGIES INC","Equity","1.90","131.51","440,659.00","57,951,065.09","57,951,065.09","Industrials","2503477","US8793601050","New York Stock Exchange Inc."
"HXL","HEXCEL CORP","Equity","1.85","51.43","1,098,286.00","56,484,848.98","56,484,848.98","Industrials","2416779","US4282911084","New York Stock Exchange Inc."
"CW","CURTISS WRIGHT CORP","Equity","1.70","90.03","575,259.00","51,790,567.77","51,790,567.77","Industrials","2241205","US2315611010","New York Stock Exchange Inc."
