iShares U.S. Aerospace & Defense ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Jun 30, 2017"
Total Net Assets,"3,137,883,836.85"
Shares Outstanding,"19,950,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BA","BOEING","Equity","9.83","197.75","1,560,548.00","308,598,367.00","308,598,367.00","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","8.77","122.11","2,253,148.00","275,131,902.28","275,131,902.28","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","7.57","277.61","855,768.00","237,569,754.48","237,569,754.48","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"GD","GENERAL DYNAMICS CORP","Equity","6.81","198.10","1,078,745.00","213,699,384.50","213,699,384.50","Industrials","2365161","US3695501086","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","6.26","161.48","1,215,785.00","196,324,961.80","196,324,961.80","Industrials","2758051","US7551115071","New York Stock Exchange Inc."
"NOC","NORTHROP GRUMMAN CORP","Equity","6.12","256.71","747,933.00","192,001,880.43","192,001,880.43","Industrials","2648806","US6668071029","New York Stock Exchange Inc."
"COL","ROCKWELL COLLINS INC","Equity","3.76","105.08","1,124,051.00","118,115,279.08","118,115,279.08","Industrials","2767228","US7743411016","New York Stock Exchange Inc."
"LLL","L3 TECHNOLOGIES INC","Equity","3.33","167.08","624,855.00","104,400,773.40","104,400,773.40","Industrials","BYZGYC0","US5024131071","New York Stock Exchange Inc."
"TDG","TRANSDIGM GROUP INC","Equity","3.29","268.87","384,426.00","103,360,618.62","103,360,618.62","Industrials","B11FJK3","US8936411003","New York Stock Exchange Inc."
"TXT","TEXTRON INC","Equity","3.24","47.10","2,159,578.00","101,716,123.80","101,716,123.80","Industrials","2885937","US8832031012","New York Stock Exchange Inc."
"ARNC","ARCONIC INC","Equity","2.64","22.65","3,656,729.00","82,824,911.85","82,824,911.85","Industrials","BD3D9G5","US03965L1008","New York Stock Exchange Inc."
"HII","HUNTINGTON INGALLS INDUSTRIES INC","Equity","2.64","186.16","444,731.00","82,791,122.96","82,791,122.96","Industrials","B40SSC9","US4464131063","New York Stock Exchange Inc."
"SPR","SPIRIT AEROSYSTEMS INC CLASS A","Equity","2.42","57.94","1,311,007.00","75,959,745.58","75,959,745.58","Industrials","B1HMMS7","US8485741099","New York Stock Exchange Inc."
"OA","ORBITAL ATK INC","Equity","2.16","98.36","687,792.00","67,651,221.12","67,651,221.12","Industrials","BVGC686","US68557N1037","New York Stock Exchange Inc."
"HXL","HEXCEL CORP","Equity","2.03","52.79","1,206,551.00","63,693,827.29","63,693,827.29","Industrials","2416779","US4282911084","New York Stock Exchange Inc."
"BWXT","BWX TECHNOLOGIES INC","Equity","2.01","48.75","1,293,627.00","63,064,316.25","63,064,316.25","Industrials","BZ0W624","US05605H1005","New York Stock Exchange Inc."
"TDY","TELEDYNE TECHNOLOGIES INC","Equity","1.93","127.65","474,071.00","60,515,163.15","60,515,163.15","Industrials","2503477","US8793601050","New York Stock Exchange Inc."
"CW","CURTISS WRIGHT CORP","Equity","1.85","91.78","632,243.00","58,027,262.54","58,027,262.54","Industrials","2241205","US2315611010","New York Stock Exchange Inc."
"HEIA","HEICO CORP CLASS A","Equity","1.53","62.05","774,582.00","48,062,813.10","48,062,813.10","Industrials","2237561","US4228062083","New York Stock Exchange Inc."
"ESL","ESTERLINE TECHNOLOGIES CORP","Equity","1.50","94.80","496,412.00","47,059,857.60","47,059,857.60","Industrials","2322047","US2974251009","New York Stock Exchange Inc."
"KLXI","KLX INC","Equity","1.46","50.00","918,429.00","45,921,450.00","45,921,450.00","Industrials","BT6T3G0","US4825391034","NASDAQ"
"ROLL","RBC BEARINGS INC","Equity","1.40","101.76","432,924.00","44,054,346.24","44,054,346.24","Industrials","B0GLYB5","US75524B1044","NASDAQ"
"MOGA","MOOG INC CLASS A","Equity","1.39","71.72","606,837.00","43,522,349.64","43,522,349.64","Industrials","2601218","US6153942023","New York Stock Exchange Inc."
"MRCY","MERCURY SYSTEMS INC","Equity","1.35","42.09","1,003,921.00","42,255,034.89","42,255,034.89","Industrials","2144047","US5893781089","NASDAQ"
"DGI","DIGITALGLOBE INC","Equity","1.34","33.30","1,263,720.00","42,081,876.00","42,081,876.00","Industrials","B0V0257","US25389M8771","New York Stock Exchange Inc."
"HEI","HEICO CORP","Equity","1.25","71.84","545,567.00","39,193,533.28","39,193,533.28","Industrials","2419217","US4228061093","New York Stock Exchange Inc."
