iShares U.S. Aerospace & Defense ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Jul 31, 2017"
Total Net Assets,"3,461,924,138.27"
Shares Outstanding,"21,000,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BA","BOEING","Equity","11.50","242.46","1,650,501.00","400,180,472.46","400,180,472.46","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","8.12","118.57","2,383,029.00","282,555,748.53","282,555,748.53","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","7.60","292.13","905,103.00","264,407,739.39","264,407,739.39","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"GD","GENERAL DYNAMICS CORP","Equity","6.44","196.33","1,140,937.00","224,000,161.21","224,000,161.21","Industrials","2365161","US3695501086","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","6.35","171.77","1,285,866.00","220,873,202.82","220,873,202.82","Industrials","2758051","US7551115071","New York Stock Exchange Inc."
"NOC","NORTHROP GRUMMAN CORP","Equity","5.98","263.13","791,058.00","208,151,091.54","208,151,091.54","Industrials","2648806","US6668071029","New York Stock Exchange Inc."
"COL","ROCKWELL COLLINS INC","Equity","3.64","106.53","1,188,842.00","126,647,338.26","126,647,338.26","Industrials","2767228","US7743411016","New York Stock Exchange Inc."
"LLL","L3 TECHNOLOGIES INC","Equity","3.32","174.97","660,873.00","115,632,948.81","115,632,948.81","Industrials","BYZGYC0","US5024131071","New York Stock Exchange Inc."
"TDG","TRANSDIGM GROUP INC","Equity","3.30","282.14","406,575.00","114,711,070.50","114,711,070.50","Industrials","B11FJK3","US8936411003","New York Stock Exchange Inc."
"TXT","TEXTRON INC","Equity","3.23","49.13","2,284,054.00","112,215,573.02","112,215,573.02","Industrials","2885937","US8832031012","New York Stock Exchange Inc."
"HII","HUNTINGTON INGALLS INDUSTRIES INC","Equity","2.79","206.11","470,376.00","96,949,197.36","96,949,197.36","Industrials","B40SSC9","US4464131063","New York Stock Exchange Inc."
"ARNC","ARCONIC INC","Equity","2.76","24.79","3,867,524.00","95,875,919.96","95,875,919.96","Industrials","BD3D9G5","US03965L1008","New York Stock Exchange Inc."
"SPR","SPIRIT AEROSYSTEMS INC CLASS A","Equity","2.41","60.43","1,386,585.00","83,791,331.55","83,791,331.55","Industrials","B1HMMS7","US8485741099","New York Stock Exchange Inc."
"OA","ORBITAL ATK INC","Equity","2.14","102.18","727,444.00","74,330,227.92","74,330,227.92","Industrials","BVGC686","US68557N1037","New York Stock Exchange Inc."
"BWXT","BWX TECHNOLOGIES INC","Equity","2.07","52.68","1,368,193.00","72,076,407.24","72,076,407.24","Industrials","BZ0W624","US05605H1005","New York Stock Exchange Inc."
"TDY","TELEDYNE TECHNOLOGIES INC","Equity","1.97","136.34","501,395.00","68,360,194.30","68,360,194.30","Industrials","2503477","US8793601050","New York Stock Exchange Inc."
"HXL","HEXCEL CORP","Equity","1.88","51.17","1,276,103.00","65,298,190.51","65,298,190.51","Industrials","2416779","US4282911084","New York Stock Exchange Inc."
"CW","CURTISS WRIGHT CORP","Equity","1.85","96.42","668,698.00","64,475,861.16","64,475,861.16","Industrials","2241205","US2315611010","New York Stock Exchange Inc."
"HEIA","HEICO CORP CLASS A","Equity","1.67","71.05","819,225.00","58,205,936.25","58,205,936.25","Industrials","2237561","US4228062083","New York Stock Exchange Inc."
"ESL","ESTERLINE TECHNOLOGIES CORP","Equity","1.46","96.50","525,024.00","50,664,816.00","50,664,816.00","Industrials","2322047","US2974251009","New York Stock Exchange Inc."
"KLXI","KLX INC","Equity","1.45","51.92","971,375.00","50,433,790.00","50,433,790.00","Industrials","BT6T3G0","US4825391034","NASDAQ"
"MOGA","MOOG INC CLASS A","Equity","1.37","74.32","641,820.00","47,700,062.40","47,700,062.40","Industrials","2601218","US6153942023","New York Stock Exchange Inc."
"ROLL","RBC BEARINGS INC","Equity","1.36","103.34","457,879.00","47,317,215.86","47,317,215.86","Industrials","B0GLYB5","US75524B1044","NASDAQ"
"DGI","DIGITALGLOBE INC","Equity","1.34","34.90","1,336,561.00","46,645,978.90","46,645,978.90","Industrials","B0V0257","US25389M8771","New York Stock Exchange Inc."
"MRCY","MERCURY SYSTEMS INC","Equity","1.34","43.91","1,061,789.00","46,623,154.99","46,623,154.99","Industrials","2144047","US5893781089","NASDAQ"
"HEI","HEICO CORP","Equity","1.33","80.37","577,008.00","46,374,132.96","46,374,132.96","Industrials","2419217","US4228061093","New York Stock Exchange Inc."
"AJRD","AEROJET ROCKETDYNE HOLDINGS INC","Equity","1.21","23.45","1,789,737.00","41,969,332.65","41,969,332.65","Industrials","BWD7PX9","US0078001056","New York Stock Exchange Inc."
"AAXN","AXON ENTERPRISE INC","Equity","1.00","24.59","1,408,532.00","34,635,801.88","34,635,801.88","Industrials","BDT5S35","US05464C1018","NASDAQ"
"AIR","AAR CORP","Equity","0.99","37.40","916,857.00","34,290,451.80","34,290,451.80","Industrials","2001119","US0003611052","New York Stock Exchange Inc."
"CUB","CUBIC CORP","Equity","0.96","47.65","704,308.00","33,560,276.20","33,560,276.20","Industrials","2239266","US2296691064","New York Stock Exchange Inc."
"MANT","MANTECH INTERNATIONAL CORP CLASS A","Equity","0.87","39.72","766,243.00","30,435,171.96","30,435,171.96","Information Technology","2825308","US5645631046","NASDAQ"
"AOBC","AMERICAN OUTDOOR BRANDS CORP","Equity","0.87","20.67","1,471,476.00","30,415,408.92","30,415,408.92","Consumer Discretionary","BD8ZGK9","US02874P1030","NASDAQ"
"TGI","TRIUMPH GROUP INC","Equity","0.86","25.60","1,165,823.00","29,845,068.80","29,845,068.80","Industrials","2893071","US8968181011","New York Stock Exchange Inc."
"AVAV","AEROVIRONMENT INC","Equity","0.85","37.79","779,831.00","29,469,813.49","29,469,813.49","Industrials","B1P5YY8","US0080731088","NASDAQ"
"RGR","STURM RUGER INC","Equity","0.82","57.60","494,854.00","28,503,590.40","28,503,590.40","Consumer Discretionary","2856289","US8641591081","New York Stock Exchange Inc."
"KTOS","KRATOS DEFENSE AND SECURITY SOLUTI","Equity","0.78","11.01","2,480,122.00","27,293,742.61","27,293,742.61","Industrials","2512149","US50077B2079","NASDAQ"
"WAIR","WESCO AIRCRAFT HOLDINGS INC","Equity","0.74","10.85","2,361,838.00","25,625,942.30","25,625,942.30","Industrials","B3Y05W3","US9508141036","New York Stock Exchange Inc."
"ATRO","ASTRONICS CORP","Equity","0.68","29.25","804,499.00","23,531,595.75","23,531,595.75","Industrials","2060518","US0464331083","NASDAQ"
"EGL","ENGILITY HOLDINGS INC","Equity","0.64","29.17","767,284.00","22,381,674.28","22,381,674.28","Industrials","BVWVSS1","US29286C1071","New York Stock Exchange Inc."
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.03","1.00","1,087,390.00","1,087,390.30","1,087,390.30","Cash and/or Derivatives","-","US0669224778","-"
"USD","USD CASH","Cash","0.03","100.00","997,955.00","997,955.22","997,955.22","Cash and/or Derivatives","-","-","-"
 
