iShares U.S. Aerospace & Defense ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Aug 31, 2017"
Total Net Assets,"3,962,824,267.88"
Shares Outstanding,"23,200,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BA","BOEING","Equity","11.02","239.66","1,846,051.00","442,424,582.66","442,424,582.66","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","7.95","119.72","2,665,379.00","319,099,173.88","319,099,173.88","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","7.70","305.39","1,012,353.00","309,162,482.67","309,162,482.67","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","6.52","182.01","1,438,216.00","261,769,694.16","261,769,694.16","Industrials","2758051","US7551115071","New York Stock Exchange Inc."
"GD","GENERAL DYNAMICS CORP","Equity","6.40","201.35","1,276,137.00","256,950,184.95","256,950,184.95","Industrials","2365161","US3695501086","New York Stock Exchange Inc."
"NOC","NORTHROP GRUMMAN CORP","Equity","6.00","272.21","884,808.00","240,853,585.68","240,853,585.68","Industrials","2648806","US6668071029","New York Stock Exchange Inc."
"COL","ROCKWELL COLLINS INC","Equity","4.34","131.05","1,329,692.00","174,256,136.60","174,256,136.60","Industrials","2767228","US7743411016","New York Stock Exchange Inc."
"LLL","L3 TECHNOLOGIES INC","Equity","3.34","181.48","739,173.00","134,145,116.04","134,145,116.04","Industrials","BYZGYC0","US5024131071","New York Stock Exchange Inc."
"TXT","TEXTRON INC","Equity","3.12","49.09","2,554,654.00","125,407,964.86","125,407,964.86","Industrials","2885937","US8832031012","New York Stock Exchange Inc."
"TDG","TRANSDIGM GROUP INC","Equity","2.95","260.66","454,725.00","118,528,618.50","118,528,618.50","Industrials","B11FJK3","US8936411003","New York Stock Exchange Inc."
"SPR","SPIRIT AEROSYSTEMS INC CLASS A","Equity","2.88","74.50","1,550,885.00","115,540,932.50","115,540,932.50","Industrials","B1HMMS7","US8485741099","New York Stock Exchange Inc."
"HII","HUNTINGTON INGALLS INDUSTRIES INC","Equity","2.80","213.96","526,126.00","112,569,918.96","112,569,918.96","Industrials","B40SSC9","US4464131063","New York Stock Exchange Inc."
"ARNC","ARCONIC INC","Equity","2.75","25.47","4,325,774.00","110,177,463.78","110,177,463.78","Industrials","BD3D9G5","US03965L1008","New York Stock Exchange Inc."
"OA","ORBITAL ATK INC","Equity","2.26","111.58","813,644.00","90,786,397.52","90,786,397.52","Industrials","BVGC686","US68557N1037","New York Stock Exchange Inc."
"TDY","TELEDYNE TECHNOLOGIES INC","Equity","2.10","150.06","560,795.00","84,152,897.70","84,152,897.70","Industrials","2503477","US8793601050","New York Stock Exchange Inc."
"BWXT","BWX TECHNOLOGIES INC","Equity","2.09","54.72","1,530,293.00","83,737,632.96","83,737,632.96","Industrials","BZ0W624","US05605H1005","New York Stock Exchange Inc."
"HXL","HEXCEL CORP","Equity","1.91","53.77","1,427,303.00","76,746,082.31","76,746,082.31","Industrials","2416779","US4282911084","New York Stock Exchange Inc."
"CW","CURTISS WRIGHT CORP","Equity","1.80","96.82","747,948.00","72,416,325.36","72,416,325.36","Industrials","2241205","US2315611010","New York Stock Exchange Inc."
"HEIA","HEICO CORP CLASS A","Equity","1.66","72.65","916,275.00","66,567,378.75","66,567,378.75","Industrials","2237561","US4228062083","New York Stock Exchange Inc."
"AJRD","AEROJET ROCKETDYNE HOLDINGS INC","Equity","1.48","29.63","2,001,787.00","59,312,948.81","59,312,948.81","Industrials","BWD7PX9","US0078001056","New York Stock Exchange Inc."
"MRCY","MERCURY SYSTEMS INC","Equity","1.43","48.25","1,187,589.00","57,301,169.25","57,301,169.25","Industrials","2144047","US5893781089","NASDAQ"
"ROLL","RBC BEARINGS INC","Equity","1.41","110.27","512,129.00","56,472,464.83","56,472,464.83","Industrials","B0GLYB5","US75524B1044","NASDAQ"
"HEI","HEICO CORP","Equity","1.38","85.77","645,358.00","55,352,355.66","55,352,355.66","Industrials","2419217","US4228061093","New York Stock Exchange Inc."
"MOGA","MOOG INC CLASS A","Equity","1.37","76.76","717,870.00","55,103,701.20","55,103,701.20","Industrials","2601218","US6153942023","New York Stock Exchange Inc."
"KLXI","KLX INC","Equity","1.30","47.94","1,086,475.00","52,085,611.50","52,085,611.50","Industrials","BT6T3G0","US4825391034","NASDAQ"
"DGI","DIGITALGLOBE INC","Equity","1.28","34.40","1,494,911.00","51,424,938.40","51,424,938.40","Industrials","B0V0257","US25389M8771","New York Stock Exchange Inc."
"ESL","ESTERLINE TECHNOLOGIES CORP","Equity","1.25","85.40","587,224.00","50,148,929.60","50,148,929.60","Industrials","2322047","US2974251009","New York Stock Exchange Inc."
"AVAV","AEROVIRONMENT INC","Equity","1.07","49.02","872,231.00","42,756,763.62","42,756,763.62","Industrials","B1P5YY8","US0080731088","NASDAQ"
"KTOS","KRATOS DEFENSE AND SECURITY SOLUTI","Equity","0.92","13.38","2,773,972.00","37,115,745.36","37,115,745.36","Industrials","2512149","US50077B2079","NASDAQ"
"AIR","AAR CORP","Equity","0.92","36.06","1,025,507.00","36,979,782.42","36,979,782.42","Industrials","2001119","US0003611052","New York Stock Exchange Inc."
