iShares U.S. Aerospace & Defense ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Sep 29, 2017"
Total Net Assets,"4,384,297,173.59"
Shares Outstanding,"24,650,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BA","BOEING","Equity","10.14","254.21","1,745,134.00","443,630,514.14","443,630,514.14","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","7.87","116.08","2,966,161.00","344,311,968.88","344,311,968.88","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","7.37","310.29","1,039,522.00","322,553,281.38","322,553,281.38","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"GD","GENERAL DYNAMICS CORP","Equity","6.39","205.58","1,360,988.00","279,791,913.04","279,791,913.04","Industrials","2365161","US3695501086","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","6.19","186.58","1,452,228.00","270,956,700.24","270,956,700.24","Industrials","2758051","US7551115071","New York Stock Exchange Inc."
"NOC","NORTHROP GRUMMAN CORP","Equity","6.11","287.72","928,428.00","267,127,304.16","267,127,304.16","Industrials","2648806","US6668071029","New York Stock Exchange Inc."
"COL","ROCKWELL COLLINS INC","Equity","3.85","130.71","1,288,301.00","168,393,823.71","168,393,823.71","Industrials","2767228","US7743411016","New York Stock Exchange Inc."
"TXT","TEXTRON INC","Equity","3.33","53.88","2,703,260.00","145,651,648.80","145,651,648.80","Industrials","2885937","US8832031012","New York Stock Exchange Inc."
"LLL","L3 TECHNOLOGIES INC","Equity","3.28","188.43","762,000.00","143,583,660.00","143,583,660.00","Industrials","BYZGYC0","US5024131071","New York Stock Exchange Inc."
"TDG","TRANSDIGM GROUP INC","Equity","2.98","255.65","509,898.00","130,355,423.70","130,355,423.70","Industrials","B11FJK3","US8936411003","New York Stock Exchange Inc."
"HII","HUNTINGTON INGALLS INDUSTRIES INC","Equity","2.79","226.44","539,207.00","122,098,033.08","122,098,033.08","Industrials","B40SSC9","US4464131063","New York Stock Exchange Inc."
"ARNC","ARCONIC INC","Equity","2.64","24.88","4,648,762.00","115,661,198.56","115,661,198.56","Industrials","BD3D9G5","US03965L1008","New York Stock Exchange Inc."
"SPR","SPIRIT AEROSYSTEMS INC CLASS A","Equity","2.61","77.72","1,469,478.00","114,207,830.16","114,207,830.16","Industrials","B1HMMS7","US8485741099","New York Stock Exchange Inc."
"OA","ORBITAL ATK INC","Equity","2.60","133.16","854,626.00","113,801,998.16","113,801,998.16","Industrials","BVGC686","US68557N1037","New York Stock Exchange Inc."
"TDY","TELEDYNE TECHNOLOGIES INC","Equity","2.08","159.18","570,985.00","90,889,392.30","90,889,392.30","Industrials","2503477","US8793601050","New York Stock Exchange Inc."
"BWXT","BWX TECHNOLOGIES INC","Equity","2.04","56.02","1,591,148.00","89,136,110.96","89,136,110.96","Industrials","BZ0W624","US05605H1005","New York Stock Exchange Inc."
"HXL","HEXCEL CORP","Equity","2.01","57.42","1,528,134.00","87,745,454.28","87,745,454.28","Industrials","2416779","US4282911084","New York Stock Exchange Inc."
"CW","CURTISS WRIGHT CORP","Equity","1.90","104.54","794,983.00","83,107,522.82","83,107,522.82","Industrials","2241205","US2315611010","New York Stock Exchange Inc."
"HEIA","HEICO CORP CLASS A","Equity","1.62","76.20","932,681.00","71,070,292.20","71,070,292.20","Industrials","2237561","US4228062083","New York Stock Exchange Inc."
"ROLL","RBC BEARINGS INC","Equity","1.59","125.15","554,660.00","69,415,699.00","69,415,699.00","Industrials","B0GLYB5","US75524B1044","NASDAQ"
"AJRD","AEROJET ROCKETDYNE HOLDINGS INC","Equity","1.53","35.01","1,917,399.00","67,128,138.99","67,128,138.99","Industrials","BWD7PX9","US0078001056","New York Stock Exchange Inc."
"KLXI","KLX INC","Equity","1.48","52.93","1,221,529.00","64,655,529.97","64,655,529.97","Industrials","BT6T3G0","US4825391034","NASDAQ"
"MOGA","MOOG INC CLASS A","Equity","1.47","83.43","770,801.00","64,307,927.43","64,307,927.43","Industrials","2601218","US6153942023","New York Stock Exchange Inc."
"MRCY","MERCURY SYSTEMS INC","Equity","1.41","51.88","1,185,181.00","61,487,190.28","61,487,190.28","Industrials","2144047","US5893781089","NASDAQ"
"ESL","ESTERLINE TECHNOLOGIES CORP","Equity","1.35","90.15","654,606.00","59,012,730.90","59,012,730.90","Industrials","2322047","US2974251009","New York Stock Exchange Inc."
"HEI","HEICO CORP","Equity","1.34","89.81","651,814.00","58,539,415.34","58,539,415.34","Industrials","2419217","US4228061093","New York Stock Exchange Inc."
"DGI","DIGITALGLOBE INC","Equity","1.27","35.25","1,574,017.00","55,484,099.25","55,484,099.25","Industrials","B0V0257","US25389M8771","New York Stock Exchange Inc."
"TGI","TRIUMPH GROUP INC","Equity","1.13","29.75","1,655,346.00","49,246,543.50","49,246,543.50","Industrials","2893071","US8968181011","New York Stock Exchange Inc."
"CUB","CUBIC CORP","Equity","1.06","51.00","906,964.00","46,255,164.00","46,255,164.00","Industrials","2239266","US2296691064","New York Stock Exchange Inc."
"AIR","AAR CORP","Equity","0.98","37.78","1,139,451.00","43,048,458.78","43,048,458.78","Industrials","2001119","US0003611052","New York Stock Exchange Inc."
"AVAV","AEROVIRONMENT INC","Equity","0.97","54.12","782,274.00","42,336,668.88","42,336,668.88","Industrials","B1P5YY8","US0080731088","NASDAQ"
"AAXN","AXON ENTERPRISE INC","Equity","0.96","22.67","1,853,955.00","42,029,159.85","42,029,159.85","Industrials","BDT5S35","US05464C1018","NASDAQ"
"MANT","MANTECH INTERNATIONAL CORP CLASS A","Equity","0.96","44.15","947,760.00","41,843,604.00","41,843,604.00","Information Technology","2825308","US5645631046","NASDAQ"
"KTOS","KRATOS DEFENSE AND SECURITY SOLUTI","Equity","0.95","13.08","3,193,213.00","41,767,226.04","41,767,226.04","Industrials","2512149","US50077B2079","NASDAQ"
"RGR","STURM RUGER INC","Equity","0.87","51.70","733,025.00","37,897,392.50","37,897,392.50","Consumer Discretionary","2856289","US8641591081","New York Stock Exchange Inc."
"AOBC","AMERICAN OUTDOOR BRANDS CORP","Equity","0.74","15.25","2,127,164.00","32,439,251.00","32,439,251.00","Consumer Discretionary","BD8ZGK9","US02874P1030","NASDAQ"
"ATRO","ASTRONICS CORP","Equity","0.73","29.75","1,074,171.00","31,956,587.25","31,956,587.25","Industrials","2060518","US0464331083","NASDAQ"
"EGL","ENGILITY HOLDINGS INC","Equity","0.72","34.68","910,620.00","31,580,301.60","31,580,301.60","Industrials","BVWVSS1","US29286C1071","New York Stock Exchange Inc."
"WAIR","WESCO AIRCRAFT HOLDINGS INC","Equity","0.68","9.40","3,168,616.00","29,784,990.40","29,784,990.40","Industrials","B3Y05W3","US9508141036","New York Stock Exchange Inc."
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.05","1.00","2,282,295.00","2,282,294.92","2,282,294.92","Cash and/or Derivatives","-","US0669224778","-"
"USD","USD CASH","Cash","-0.03","100.00","-1,159,187.00","-1,159,186.82","-1,159,186.82","Cash and/or Derivatives","-","-","-"
 
