iShares U.S. Aerospace & Defense ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Oct 31, 2017"
Total Net Assets,"4,554,169,581.25"
Shares Outstanding,"25,250,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BA","BOEING","Equity","10.24","257.98","1,807,746.00","466,362,313.08","466,362,313.08","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","8.08","119.76","3,072,577.00","367,971,821.52","367,971,821.52","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","7.29","308.16","1,076,817.00","331,831,926.72","331,831,926.72","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"GD","GENERAL DYNAMICS CORP","Equity","6.28","202.98","1,409,815.00","286,164,248.70","286,164,248.70","Industrials","2365161","US3695501086","New York Stock Exchange Inc."
"NOC","NORTHROP GRUMMAN CORP","Equity","6.24","295.53","961,732.00","284,220,657.96","284,220,657.96","Industrials","2648806","US6668071029","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","5.95","180.20","1,504,334.00","271,080,986.80","271,080,986.80","Industrials","2758051","US7551115071","New York Stock Exchange Inc."
"COL","ROCKWELL COLLINS INC","Equity","3.97","135.60","1,334,517.00","180,960,505.20","180,960,505.20","Industrials","2767228","US7743411016","New York Stock Exchange Inc."
"LLL","L3 TECHNOLOGIES INC","Equity","3.24","187.18","789,340.00","147,748,661.20","147,748,661.20","Industrials","BYZGYC0","US5024131071","New York Stock Exchange Inc."
"TXT","TEXTRON INC","Equity","3.24","52.74","2,800,236.00","147,684,446.64","147,684,446.64","Industrials","2885937","US8832031012","New York Stock Exchange Inc."
"TDG","TRANSDIGM GROUP INC","Equity","3.22","277.50","528,186.00","146,571,615.00","146,571,615.00","Industrials","B11FJK3","US8936411003","New York Stock Exchange Inc."
"ARNC","ARCONIC INC","Equity","2.90","25.12","5,255,797.00","132,025,620.64","132,025,620.64","Industrials","BD3D9G5","US03965L1008","New York Stock Exchange Inc."
"HII","HUNTINGTON INGALLS INDUSTRIES INC","Equity","2.86","232.83","558,553.00","130,047,894.99","130,047,894.99","Industrials","B40SSC9","US4464131063","New York Stock Exchange Inc."
"SPR","SPIRIT AEROSYSTEMS INC CLASS A","Equity","2.68","80.10","1,522,199.00","121,928,139.90","121,928,139.90","Industrials","B1HMMS7","US8485741099","New York Stock Exchange Inc."
"OA","ORBITAL ATK INC","Equity","2.58","132.93","885,286.00","117,681,067.98","117,681,067.98","Industrials","BVGC686","US68557N1037","New York Stock Exchange Inc."
"TDY","TELEDYNE TECHNOLOGIES INC","Equity","2.21","169.96","591,475.00","100,527,091.00","100,527,091.00","Industrials","2503477","US8793601050","New York Stock Exchange Inc."
"BWXT","BWX TECHNOLOGIES INC","Equity","2.17","59.92","1,648,233.00","98,762,121.36","98,762,121.36","Industrials","BZ0W624","US05605H1005","New York Stock Exchange Inc."
"CW","CURTISS WRIGHT CORP","Equity","2.14","118.25","823,510.00","97,380,057.50","97,380,057.50","Industrials","2241205","US2315611010","New York Stock Exchange Inc."
"HXL","HEXCEL CORP","Equity","2.11","60.69","1,582,961.00","96,069,903.09","96,069,903.09","Industrials","2416779","US4282911084","New York Stock Exchange Inc."
"HEIA","HEICO CORP CLASS A","Equity","1.61","76.10","966,146.00","73,523,710.60","73,523,710.60","Industrials","2237561","US4228062083","New York Stock Exchange Inc."
"ROLL","RBC BEARINGS INC","Equity","1.56","123.82","574,556.00","71,141,523.92","71,141,523.92","Industrials","B0GLYB5","US75524B1044","NASDAQ"
"MOGA","MOOG INC CLASS A","Equity","1.54","87.76","798,459.00","70,072,761.84","70,072,761.84","Industrials","2601218","US6153942023","New York Stock Exchange Inc."
"KLXI","KLX INC","Equity","1.52","54.86","1,265,360.00","69,417,649.60","69,417,649.60","Industrials","BT6T3G0","US4825391034","NASDAQ"
"ESL","ESTERLINE TECHNOLOGIES CORP","Equity","1.41","94.85","678,086.00","64,316,457.10","64,316,457.10","Industrials","2322047","US2974251009","New York Stock Exchange Inc."
"AJRD","AEROJET ROCKETDYNE HOLDINGS INC","Equity","1.38","31.58","1,986,186.00","62,723,753.88","62,723,753.88","Industrials","BWD7PX9","US0078001056","New York Stock Exchange Inc."
"MRCY","MERCURY SYSTEMS INC","Equity","1.36","50.47","1,227,701.00","61,962,069.47","61,962,069.47","Industrials","2144047","US5893781089","NASDAQ"
"HEI","HEICO CORP","Equity","1.34","90.68","675,201.00","61,227,226.68","61,227,226.68","Industrials","2419217","US4228061093","New York Stock Exchange Inc."
"TGI","TRIUMPH GROUP INC","Equity","1.17","31.05","1,714,743.00","53,242,770.15","53,242,770.15","Industrials","2893071","US8968181011","New York Stock Exchange Inc."
"CUB","CUBIC CORP","Equity","1.13","54.55","939,492.00","51,249,288.60","51,249,288.60","Industrials","2239266","US2296691064","New York Stock Exchange Inc."
"AIR","AAR CORP","Equity","1.01","38.89","1,180,331.00","45,903,072.59","45,903,072.59","Industrials","2001119","US0003611052","New York Stock Exchange Inc."
"MANT","MANTECH INTERNATIONAL CORP CLASS A","Equity","1.00","46.41","981,759.00","45,563,435.19","45,563,435.19","Information Technology","2825308","US5645631046","NASDAQ"
"AAXN","AXON ENTERPRISE INC","Equity","0.97","22.97","1,920,463.00","44,113,035.11","44,113,035.11","Industrials","BDT5S35","US05464C1018","NASDAQ"
"AVAV","AEROVIRONMENT INC","Equity","0.91","51.16","810,343.00","41,457,147.88","41,457,147.88","Industrials","B1P5YY8","US0080731088","NASDAQ"
"KTOS","KRATOS DEFENSE AND SECURITY SOLUTI","Equity","0.87","12.04","3,307,754.00","39,825,358.16","39,825,358.16","Industrials","2512149","US50077B2079","NASDAQ"
"ATRO","ASTRONICS CORP","Equity","0.84","34.40","1,112,700.00","38,276,880.00","38,276,880.00","Industrials","2060518","US0464331083","NASDAQ"
"RGR","STURM RUGER INC","Equity","0.83","49.55","759,327.00","37,624,652.85","37,624,652.85","Consumer Discretionary","2856289","US8641591081","New York Stock Exchange Inc."
"EGL","ENGILITY HOLDINGS INC","Equity","0.70","33.67","943,289.00","31,760,540.63","31,760,540.63","Industrials","BVWVSS1","US29286C1071","New York Stock Exchange Inc."
"AOBC","AMERICAN OUTDOOR BRANDS CORP","Equity","0.69","14.33","2,203,468.00","31,575,696.44","31,575,696.44","Consumer Discretionary","BD8ZGK9","US02874P1030","NASDAQ"
"WAIR","WESCO AIRCRAFT HOLDINGS INC","Equity","0.65","9.05","3,282,304.00","29,704,851.20","29,704,851.20","Industrials","B3Y05W3","US9508141036","New York Stock Exchange Inc."
"BLKFDS","BLK CSH FND TREASURY SL AGENCY","Money Market","0.07","1.00","3,340,433.00","3,340,432.69","3,340,432.69","Cash and/or Derivatives","-","US0669224778","-"
"USD","USD CASH","Cash","0.03","100.00","1,192,250.00","1,192,249.58","1,192,249.58","Cash and/or Derivatives","-","-","-"
 
