iShares U.S. Aerospace & Defense ETF
Inception Date,"May 01, 2006"
Fund Holdings as of,"Nov 30, 2017"
Total Net Assets,"4,885,889,705.54"
Shares Outstanding,"26,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BA","BOEING","Equity","10.67","276.80","1,886,506.00","522,184,860.80","522,184,860.80","Industrials","2108601","US0970231058","New York Stock Exchange Inc."
"UTX","UNITED TECHNOLOGIES CORP","Equity","7.96","121.45","3,206,425.00","389,420,316.25","389,420,316.25","Industrials","2915500","US9130171096","New York Stock Exchange Inc."
"LMT","LOCKHEED MARTIN CORP","Equity","7.33","319.12","1,123,721.00","358,601,845.52","358,601,845.52","Industrials","2522096","US5398301094","New York Stock Exchange Inc."
"NOC","NORTHROP GRUMMAN CORP","Equity","6.30","307.40","1,003,620.00","308,512,788.00","308,512,788.00","Industrials","2648806","US6668071029","New York Stock Exchange Inc."
"GD","GENERAL DYNAMICS CORP","Equity","6.23","207.16","1,471,239.00","304,781,871.24","304,781,871.24","Industrials","2365161","US3695501086","New York Stock Exchange Inc."
"RTN","RAYTHEON","Equity","6.13","191.15","1,569,872.00","300,081,032.80","300,081,032.80","Industrials","2758051","US7551115071","New York Stock Exchange Inc."
"COL","ROCKWELL COLLINS INC","Equity","3.76","132.31","1,392,663.00","184,263,241.53","184,263,241.53","Industrials","2767228","US7743411016","New York Stock Exchange Inc."
"LLL","L3 TECHNOLOGIES INC","Equity","3.34","198.59","823,726.00","163,583,746.34","163,583,746.34","Industrials","BYZGYC0","US5024131071","New York Stock Exchange Inc."
"TXT","TEXTRON INC","Equity","3.33","55.71","2,922,226.00","162,797,210.46","162,797,210.46","Industrials","2885937","US8832031012","New York Stock Exchange Inc."
"TDG","TRANSDIGM GROUP INC","Equity","3.20","283.79","551,198.00","156,424,480.42","156,424,480.42","Industrials","B11FJK3","US8936411003","New York Stock Exchange Inc."
"HII","HUNTINGTON INGALLS INDUSTRIES INC","Equity","2.88","241.67","582,885.00","140,865,817.95","140,865,817.95","Industrials","B40SSC9","US4464131063","New York Stock Exchange Inc."
"ARNC","ARCONIC INC","Equity","2.76","24.61","5,484,773.00","134,980,263.53","134,980,263.53","Industrials","BD3D9G5","US03965L1008","New York Stock Exchange Inc."
