As Of,Index Level,NAV per Share,Ex-Dividends,Shares Outstanding
"Mar 29, 2018","38,787.26",197.93,--,"29,050,000.00"
"Mar 28, 2018","38,225.81",195.07,--,"29,000,000.00"
"Mar 27, 2018","38,523.37",196.59,--,"29,000,000.00"
"Mar 26, 2018","39,138.34",199.73,--,"28,900,000.00"
"Mar 23, 2018","38,143.52",194.66,--,"28,950,000.00"
"Mar 22, 2018","38,055.64",194.21,0.42,"28,950,000.00"
"Mar 21, 2018","39,190.95",200.43,--,"28,900,000.00"
"Mar 20, 2018","39,113.29",200.04,--,"28,900,000.00"
"Mar 19, 2018","38,837.77",198.63,--,"29,000,000.00"
"Mar 16, 2018","38,759.89",198.24,--,"29,750,000.00"
"Mar 15, 2018","38,820.27",198.57,--,"29,750,000.00"
"Mar 14, 2018","38,853.02",198.75,--,"29,100,000.00"
"Mar 13, 2018","39,282.98",200.92,--,"29,050,000.00"
"Mar 12, 2018","39,388.71",201.46,--,"28,900,000.00"
"Mar 09, 2018","40,073.49",204.97,--,"28,900,000.00"
"Mar 08, 2018","39,516.02",202.12,--,"28,900,000.00"
"Mar 07, 2018","39,372.57",201.40,--,"28,900,000.00"
"Mar 06, 2018","39,231.03",200.68,--,"28,850,000.00"
"Mar 05, 2018","39,302.06",201.05,--,"28,850,000.00"
"Mar 02, 2018","38,987.46",199.46,--,"28,850,000.00"
"Mar 01, 2018","38,817.37",198.58,--,"28,900,000.00"
"Feb 28, 2018","39,632.36",202.74,--,"28,850,000.00"
"Feb 27, 2018","39,692.60",203.03,--,"29,600,000.00"
"Feb 26, 2018","40,115.47",205.19,--,"29,400,000.00"
"Feb 23, 2018","39,697.74",203.06,--,"29,400,000.00"
"Feb 22, 2018","39,443.18",201.77,--,"29,400,000.00"
"Feb 21, 2018","39,343.59",201.26,--,"29,350,000.00"
"Feb 20, 2018","39,310.64",201.09,--,"29,150,000.00"
"Feb 16, 2018","39,632.65",202.73,--,"28,950,000.00"
"Feb 15, 2018","39,575.88",202.44,--,"28,850,000.00"
"Feb 14, 2018","38,666.86",197.78,--,"28,650,000.00"
"Feb 13, 2018","38,053.27",194.66,--,"28,650,000.00"
"Feb 12, 2018","37,884.81",193.80,--,"28,300,000.00"
"Feb 09, 2018","37,325.71",190.95,--,"28,300,000.00"
"Feb 08, 2018","36,779.74",188.16,--,"28,200,000.00"
"Feb 07, 2018","38,022.55",194.52,--,"28,000,000.00"
"Feb 06, 2018","37,512.56",191.91,--,"28,150,000.00"
"Feb 05, 2018","37,129.96",189.96,--,"28,400,000.00"
"Feb 02, 2018","39,109.67",200.09,--,"28,400,000.00"
"Feb 01, 2018","39,927.55",204.27,--,"28,200,000.00"
"Jan 31, 2018","39,694.28",203.08,--,"28,200,000.00"
"Jan 30, 2018","39,598.41",202.59,--,"28,050,000.00"
"Jan 29, 2018","39,893.53",204.10,--,"28,000,000.00"
"Jan 26, 2018","39,859.01",203.93,--,"27,950,000.00"
"Jan 25, 2018","39,332.60",201.24,--,"27,850,000.00"
"Jan 24, 2018","38,747.69",198.26,--,"27,750,000.00"
"Jan 23, 2018","38,548.70",197.24,--,"27,700,000.00"
"Jan 22, 2018","38,670.73",197.87,--,"27,600,000.00"
"Jan 19, 2018","38,834.52",198.71,--,"26,750,000.00"
"Jan 18, 2018","38,552.46",197.27,--,"26,650,000.00"
"Jan 17, 2018","38,864.82",198.87,--,"26,550,000.00"
"Jan 16, 2018","38,407.17",196.53,--,"26,550,000.00"
"Jan 12, 2018","38,866.51",198.89,--,"26,500,000.00"
"Jan 11, 2018","38,245.94",195.72,--,"26,750,000.00"
"Jan 10, 2018","37,871.76",193.81,--,"26,550,000.00"
"Jan 09, 2018","37,908.70",194.00,--,"26,500,000.00"
"Jan 08, 2018","37,686.72",192.86,--,"26,500,000.00"
"Jan 05, 2018","37,471.37",191.77,--,"26,500,000.00"
"Jan 04, 2018","37,129.94",190.03,--,"26,450,000.00"
"Jan 03, 2018","36,862.94",188.66,--,"26,400,000.00"
"Jan 02, 2018","36,796.27",188.32,--,"26,250,000.00"
"Dec 29, 2017","36,758.36",188.14,--,"26,250,000.00"
"Dec 28, 2017","36,960.95",189.18,--,"26,250,000.00"
"Dec 27, 2017","36,812.57",188.42,--,"26,250,000.00"
"Dec 26, 2017","36,714.50",187.92,--,"26,200,000.00"
"Dec 22, 2017","36,676.25",187.73,--,"26,200,000.00"
"Dec 21, 2017","36,731.26",188.02,--,"26,100,000.00"
"Dec 20, 2017","36,699.81",187.86,--,"25,850,000.00"
"Dec 19, 2017","36,631.39",187.51,0.32,"25,850,000.00"
"Dec 18, 2017","36,724.75",188.31,--,"25,800,000.00"
"Dec 15, 2017","36,613.36",187.75,--,"25,800,000.00"
"Dec 14, 2017","36,053.70",184.88,--,"25,800,000.00"
"Dec 13, 2017","36,132.72",185.29,--,"25,750,000.00"
"Dec 12, 2017","35,904.45",184.12,--,"25,750,000.00"
"Dec 11, 2017","35,782.72",183.50,--,"26,500,000.00"
"Dec 08, 2017","36,025.25",184.75,--,"26,500,000.00"
"Dec 07, 2017","35,963.47",184.43,--,"26,500,000.00"
"Dec 06, 2017","35,697.04",183.07,--,"26,500,000.00"
"Dec 05, 2017","35,431.92",181.72,--,"26,450,000.00"
"Dec 04, 2017","35,680.01",182.99,--,"26,350,000.00"
"Dec 01, 2017","35,690.23",183.05,--,"26,350,000.00"
"Nov 30, 2017","36,223.18",185.78,--,"26,300,000.00"
"Nov 29, 2017","35,782.59",183.52,--,"26,300,000.00"
"Nov 28, 2017","35,775.35",183.49,--,"26,300,000.00"
"Nov 27, 2017","35,330.18",181.21,--,"26,300,000.00"
"Nov 24, 2017","35,305.08",181.09,--,"26,250,000.00"
"Nov 22, 2017","35,225.21",180.68,--,"26,250,000.00"
"Nov 21, 2017","35,373.11",181.44,--,"26,250,000.00"
"Nov 20, 2017","34,979.90",179.43,--,"26,250,000.00"
"Nov 17, 2017","34,685.58",177.93,--,"26,250,000.00"
"Nov 16, 2017","34,891.16",178.99,--,"26,300,000.00"
"Nov 15, 2017","34,594.82",177.47,--,"26,400,000.00"
"Nov 14, 2017","34,803.83",178.54,--,"26,400,000.00"
"Nov 13, 2017","34,765.30",178.35,--,"26,400,000.00"
"Nov 10, 2017","34,912.55",179.11,--,"26,300,000.00"
"Nov 09, 2017","35,103.04",180.08,--,"26,350,000.00"
"Nov 08, 2017","35,643.46",182.86,--,"26,350,000.00"
"Nov 07, 2017","35,541.85",182.34,--,"26,350,000.00"
"Nov 06, 2017","35,540.63",182.33,--,"26,350,000.00"
"Nov 03, 2017","35,487.59",182.07,--,"26,250,000.00"
"Nov 02, 2017","35,747.31",183.40,--,"25,350,000.00"
"Nov 01, 2017","35,157.89",180.38,--,"25,250,000.00"
"Oct 31, 2017","35,153.92",180.36,--,"25,250,000.00"
"Oct 30, 2017","35,140.27",180.29,--,"25,250,000.00"
"Oct 27, 2017","35,195.97",180.59,--,"25,250,000.00"
"Oct 26, 2017","35,237.48",180.80,--,"25,200,000.00"
"Oct 25, 2017","35,526.06",182.28,--,"25,100,000.00"
"Oct 24, 2017","35,648.92",182.91,--,"25,100,000.00"
"Oct 23, 2017","35,585.47",182.59,--,"25,000,000.00"
"Oct 20, 2017","35,847.17",183.94,--,"25,000,000.00"
"Oct 19, 2017","35,403.35",181.67,--,"24,950,000.00"
"Oct 18, 2017","35,395.75",181.63,--,"24,850,000.00"
"Oct 17, 2017","35,346.04",181.38,--,"24,850,000.00"
"Oct 16, 2017","35,470.44",182.01,--,"24,850,000.00"
"Oct 13, 2017","35,466.47",182.00,--,"24,850,000.00"
"Oct 12, 2017","35,620.19",182.79,--,"24,850,000.00"
"Oct 11, 2017","35,421.53",181.78,--,"25,200,000.00"
"Oct 10, 2017","35,509.78",182.23,--,"25,150,000.00"
"Oct 09, 2017","35,522.08",182.29,--,"25,100,000.00"
"Oct 06, 2017","35,473.31",182.05,--,"25,050,000.00"
"Oct 05, 2017","35,470.68",182.04,--,"25,050,000.00"
"Oct 04, 2017","35,258.81",180.95,--,"24,700,000.00"
"Oct 03, 2017","35,152.72",180.41,--,"24,600,000.00"
"Oct 02, 2017","35,116.24",180.23,--,"24,600,000.00"
"Sep 29, 2017","34,654.21",177.86,--,"24,650,000.00"
"Sep 28, 2017","34,573.65",177.45,--,"25,400,000.00"
"Sep 27, 2017","34,792.59",178.58,--,"25,400,000.00"
"Sep 26, 2017","34,480.74",176.98,0.71,"25,300,000.00"
"Sep 25, 2017","34,354.16",177.03,--,"25,200,000.00"
"Sep 22, 2017","34,495.94",177.77,--,"25,000,000.00"
"Sep 21, 2017","34,375.95",177.16,--,"24,750,000.00"
"Sep 20, 2017","34,231.79",176.42,--,"24,400,000.00"
"Sep 19, 2017","34,027.23",175.36,--,"24,300,000.00"
"Sep 18, 2017","33,747.61",173.93,--,"24,350,000.00"
"Sep 15, 2017","33,136.16",170.78,--,"24,300,000.00"
"Sep 14, 2017","32,964.64",169.90,--,"24,300,000.00"
"Sep 13, 2017","32,823.57",169.18,--,"24,250,000.00"
"Sep 12, 2017","32,886.15",169.50,--,"24,200,000.00"
"Sep 11, 2017","32,846.11",169.30,--,"24,150,000.00"
"Sep 08, 2017","32,598.58",168.03,--,"24,150,000.00"
"Sep 07, 2017","32,580.25",167.94,--,"24,100,000.00"
"Sep 06, 2017","32,503.46",167.55,--,"23,850,000.00"
"Sep 05, 2017","32,752.46",168.82,--,"23,700,000.00"
"Sep 01, 2017","33,075.81",170.49,--,"23,600,000.00"
"Aug 31, 2017","33,138.19",170.81,--,"23,200,000.00"
"Aug 30, 2017","32,978.07",169.99,--,"23,050,000.00"
"Aug 29, 2017","32,786.34",169.01,--,"22,900,000.00"
